input,intent
Cancel my appointment was not scheduled I need to speak to someone,cncl appt
Yes cancel the appointment for Sunday,cncl appt
I don't need an appointment when TV is working,cncl appt
You need to cancel it until then thank you my,cncl appt
Could I cancel,cncl appt
No just cancel I'll call back,cncl appt
I would want to cancel that appointment,cncl appt
I just want to cancel it now we got it going with the battery,cncl appt
Cancel 10 and 9 working,cncl appt
My TV is working I'm gonna cancel my appointment,cncl appt
I need to cancel their appointment to three,cncl appt
The problem is fixed and I don't need anyone to come out,cncl appt
Cancel appointment no power,cncl appt
Cancel call by the appointment time,cncl appt
I received a call that it was canceled,cncl appt
Need to cancel need to cancel an appointment at this time,cncl appt
I need to cancel the employee appointment,cncl appt
Yeah they called about it this morning and I can cancel our appointment,cncl appt
Cancel my change my appointment,cncl appt
I want to cancel back cancel,cncl appt
That's already fixed I don't need him,cncl appt
I have tickets I want to cancel out I have to cancel the appointment,cncl appt
Go ahead and cancel the service came back on,cncl appt
Cancel my appointment I'd like to speak with an agent,cncl appt
You could cancel it,cncl appt
I want to cancel that appointment I'm trying to talk care,cncl appt
I think I'm sure I just need to cancel that appointment because my computer came back up,cncl appt
I need to I need to cancel that because my computer just came back on,cncl appt
Can you please cancel,cncl appt
Yes to cancel the whole thing I I don't need it,cncl appt
You can cancel that there's no need for my television set is working,cncl appt
I don't need help with the appointment in fact somebody called me,cncl appt
I want to cancel back cancel I thought I cancel it,cncl appt
I need to cancel it for another day,cncl appt
I don't need no help thank you for the information,cncl appt
Need to cancel to cancel,cncl appt
Do not need the appointment,cncl appt
Can you cancel it for me please,cncl appt
I need to talk to somebody to cancel appointment,cncl appt
Wanna cancel it,cncl appt
Don't need any help it's good future appointment,cncl appt
I was calling to cancel my appointment,cncl appt
I don't need I don't need my TV is fine now I don't need the person to come,cncl appt
I can't cancel it can I,cncl appt
Did you call me if there's a cancellation before then,cncl appt
I was calling to cancel it,cncl appt
The TV is working now I don't need the appointment,cncl appt
I would I would like to cancel please,cncl appt
I want to cancel my appointment cancel my account,cncl appt
I would like to cancel my service and cancel the appointment,cncl appt
No I'm canceling it,cncl appt
That's why I'm calling I want to cancel my appointment my TV is working okay,cncl appt
I want to cancel and cancel your service,cncl appt
I wish to cancel my appointment today,cncl appt
Yes I wish to cancel it,cncl appt
If you cancel my appointment,cncl appt
No just make sure you cancel the appointment,cncl appt
I want to cancel it cancel appointment,cncl appt
