Input,INTENT
I need to cancel our appointment with my D V working,cncl appt
Cancel,cncl appt
Want to cancel it,cncl appt
I like I like to cancel that,cncl appt
Canceling appointment,cncl appt
I want to cancel,cncl appt
I want to cancel it,cncl appt
Cancel appointment,cncl appt
I need to cancel,cncl appt
I would like to cancel it,cncl appt
Need to cancel,cncl appt
I want to cancel the appointment,cncl appt
Cancel my appointment,cncl appt
I want to cancel the appointment MADtv find the plan again,cncl appt
I want to cancel appointment,cncl appt
Cancel it,cncl appt
I need to cancel my appointment,cncl appt
I need to cancel it,cncl appt
Hi do not need the appointment,cncl appt
Want to cancel the appointment,cncl appt
Technician arrived we have canceled the installation,cncl appt
We need to cancel that appointment,cncl appt
I don't need them,cncl appt
Need to cancel the appointment,cncl appt
I want you to cancel it,cncl appt
I'm going to have to cancel it,cncl appt
Cancel appointment please,cncl appt
I don't need help with my appointment,cncl appt
Cancel the appointment,cncl appt
Cancel want to cancel,cncl appt
I need to cancel that appointment,cncl appt
No no don't cancel,cncl appt
Need to cancel an appointment,cncl appt
I have an appointment tomorrow between eight and nine o'clock I have two cancel,cncl appt
I would like to cancel my appointment,cncl appt
Canceled appointment,cncl appt
Cancel service,cncl appt
Cancel my or cancel,cncl appt
I need to cancel the phone's working now,cncl appt
I don't need it any longer,cncl appt
I need to cancel the appointment,cncl appt
Cancel the appointment please,cncl appt
Please cancel,cncl appt
Why do I have an appointment I need to,cncl appt
Cancel cancel the appointment,cncl appt
Cancellation,cncl appt
I like to cancel it,cncl appt
Cancel appointment your mom answers,cncl appt
Cancel it now,cncl appt
Could I change could I cancel until tomorrow between two and three,cncl appt
I like to cancel my appointment,cncl appt
Cancellation team is now working fine,cncl appt
I want to cancel it my D V is not working,cncl appt
I like to cancel,cncl appt
I don't need the appointment number,cncl appt
Want to cancel,cncl appt
Cancel appointment problem has been fixed,cncl appt
I'd like to cancel my appointment because my TV went back on now it's working,cncl appt
I want to cancel a try I don't understand and I think about anything,cncl appt
No no don't cancel it yet,cncl appt
It's working working on everything now I don't I don't need a technician,cncl appt
No I I didn't say cancel,cncl appt
The account what I have an appointment you may I need an appointment for today,cncl appt
I need to cancel it fix the problem,cncl appt
I'd like to cancel,cncl appt
Not working right now so I can cancel it,cncl appt
I want to cancel the appointment everything is alright,cncl appt
I want to cancel my appointment,cncl appt
I would like to cancel that appointment,cncl appt
Cancel this appointment,cncl appt
I would like to cancel,cncl appt
Need to cancel appointment,cncl appt
I'm gonna cancel it,cncl appt
Hey I don't want voicemail,cncl appt
Cancel representative,cncl appt
I would like to cancel the appointment,cncl appt
Well needs to be canceled for the time being,cncl appt
I'd like to cancel the appointment,cncl appt
I has to cancel today,cncl appt
Cancel cancel appointment,cncl appt
No I did want to cancel the appointment,cncl appt
I wanna cancel,cncl appt
Cancel order,cncl appt
I want to cancel I want to cancel the Internet I don't want to take it,cncl appt
Cancel appointment my cable is not working,cncl appt
I need to cancel for today,cncl appt
Do I get a confirmation that I called and canceled,cncl appt
I need to cancel that my TV is working,cncl appt
I don't need help with an appointment,cncl appt
Cancel cancel,cncl appt
I want to cancel the appointment cancel it,cncl appt
Cancel appointment cancel appointment,cncl appt
I would like to cancel we have Internet up and running,cncl appt
I want to cancel cancel the appointment,cncl appt
I need to cancel up the problem I have a loose connection,cncl appt
I need to cancel an appointment,cncl appt
Yes I need to cancel the cable's working fine now,cncl appt
Oh I Wanda cancel appointment I have no Wi-Fi,cncl appt
Good luck to cancel appointment,cncl appt
I'm going to cancel that appointment,cncl appt
I wanna I wanna cancel I wanna cancel the appointment,cncl appt
Can you cancel it,cncl appt
I want to cancel cancel cancel,cncl appt
No I want to cancel the problem has been fixed,cncl appt
No it doesn't I need something later,cncl appt
I want to cancel cancellation,cncl appt
I need to cancel that I need to cancel that,cncl appt
I want to cancel the appointment cancel,cncl appt
That's very very long as you cancel a live appointment I don't care,cncl appt
I'd like to cancel it,cncl appt
I like to cancel the appointment,cncl appt
I wanna cancel my appointment,cncl appt
I need to cancel that,cncl appt
I need to cancel my appointment my Internet came back on,cncl appt
I'd like to cancel that appointment please,cncl appt
I received a call saying my appointment was canceled and to call and schedules for another one,cncl appt
I would like to I'd like to cancel the appointment,cncl appt
I like to cancel appointment,cncl appt
I don't need you,cncl appt
I don't need appointment,cncl appt
I wanted to cancel it till tomorrow,cncl appt
I need to cancel the situation has been fixed,cncl appt
Oh I thought you say skinful not canceled I do coming 9 to 10 bye I just want to make euro,cncl appt
I want to cancel my appointment because my TV isn't working,cncl appt
