Input,INTENT
No I don't know it what did you say you were gonna do without my permission,Repeat
Repeat,Repeat
Reset,Repeat
Repeat the time original time,Repeat
Tell me about it tell me what time again,Repeat
Can you repeat that,Repeat
Yes I said yes,Repeat
You just said thank you,Repeat
No girl said thank you,Repeat
Yes can you give me a person to talk to because you just keep repeating what I'm saying to you,Repeat
What what day is it today 11 to 12 bright,Repeat
Repeat the time again,Repeat
Can you repeat that please,Repeat
Online and it says here is not here yet,Repeat
Repeat that again,Repeat
Could you repeat could you repeat the time for the appointment,Repeat
Repeat appointment,Repeat
I got a text saying service was restored it is not,Repeat
I got an email saying service was restored,Repeat
Could you repeat that please,Repeat
Repeat the date and time,Repeat
Six p.m. again what time he may get more time,Repeat
You guys sent me a text saying my services was restored,Repeat
Can you repeat on address book,Repeat
What you say,Repeat
What was the time again,Repeat
Repeat information,Repeat
What time is my appointment again then,Repeat
Repeat that,Repeat
At four p.m. you said,Repeat
Repeat what you said,Repeat
I said no,Repeat
Repeat date,Repeat
Hey just said he's on the way to my house I'm not home,Repeat
I got a text saying that you fix the problem from there but it's still not working right,Repeat
January twenty second 11 to 12 is that what you said,Repeat
Well I thought our time was scheduled for eleven o'clock and now you're saying twelve o'clock,Repeat
Could you repeat that,Repeat
The person last talk to you said that the serviceman was coming today,Repeat
What's the date mix today,Repeat
It says to be one p.m. one two today not know nine,Repeat
Please repeat that,Repeat
Well I can't hear you,Repeat
I just got a text that said that everything was fixed it's not,Repeat
The note says that arrive between five and six p.m.,Repeat
What time again,Repeat
I just forgot where I was coming again,Repeat
No you're right here right again at three fifty five and he did not arrive at three fifty five,Repeat
Could you repeat appointment time,Repeat
Repeat it,Repeat
Repeat that repeat that,Repeat
Repeat the time,Repeat
Repeat the information,Repeat
Received a call saying it was canceled,Repeat
Repeat my appointment,Repeat
Repeat is going to fast repeat please find the appointment repeat,Repeat
Yes you're not getting what I said,Repeat
I said no change it,Repeat
Yes would you repeat the appointment for,Repeat
Repeat that again please,Repeat
Would you repeat the appointment date and time,Repeat
Because I got a text saying my service is been restored,Repeat
Repeat time,Repeat
Repeat that please,Repeat
Can you repeat that information,Repeat
Just want to say come at five p.m.,Repeat
My daughter says that there there she's a minor and I'm on my way there,Repeat
Repeat yourself,Repeat
Repeat yourself please,Repeat
To repeat billabong,Repeat
For the time you said to all thank you very much,Repeat
Friday and I would say like three p.m.,Repeat
What do I need to say,Repeat
