Input,INTENT
U to cancel,cncl appt
You can cancel appointment,cncl appt
No I just want to make sure you can't you cancel bitch I got the TV thanks thank you,cncl appt
I want to cancel it because it seems to be alright now by Cheerios working,cncl appt
I don't need help with the appointment I need to report trouble with my cable,cncl appt
I I cannot I don't I don't know I need to cancel my appointment,cncl appt
No no cancel the appointment,cncl appt
I want to cancel it it's fixed,cncl appt
I got a text saying the appointment was canceled I did not cancel the appointment,cncl appt
Service is restored to cancel the appointment,cncl appt
I received a text message that said it was canceled and I did not cancel that,cncl appt
My TV started working again and I need to cancel the appointment,cncl appt
I need to cancel the TV is working just fine now so you can cancel that appointment,cncl appt
My TV is working now so it can be canceled,cncl appt
I had I had I had appointment for tonight,cncl appt
Buy up to cancel,cncl appt
I don't need him to come out because I want to cancel it,cncl appt
When you can cancel you,cncl appt
That's not confirmed I canceled Wednesday my granddaughter came over and turned it on the picture for me,cncl appt
So I don't need nothing,cncl appt
I need to cancel that I got my TV going,cncl appt
I need to know if I need to schedule my appointment or not,cncl appt
My phone is working now cancel appointment,cncl appt
I made a mistake I have to cancel the appointment,cncl appt
We don't need the appointment any longer,cncl appt
My appointment cancel my appointment,cncl appt
I wanted to delete some directions to find my hello,cncl appt
I want to cancel it for now,cncl appt
No tell me appointment has been canceled,cncl appt
I want to cancel your day,cncl appt
That's what I want to talk to you about I want to cancel that appointment,cncl appt
We want to cancel the appointment the Internet is working now,cncl appt
You can cancel the appointment problem has been resolved,cncl appt
Our TV came back on I think we need to cancel the appointment,cncl appt
Yes we've had an emergency and we need to cancel that repair,cncl appt
No need so it's cancel,cncl appt
Please cancel appointment my TV is working,cncl appt
I don't need any help no thank you,cncl appt
No just just cancel that appointment,cncl appt
They sent me a message saying that I that they're gonna cancel,cncl appt
I don't want TV service,cncl appt
Hi getting a message said that appointment had been canceled,cncl appt
Cancel appointment cancel appointment TV working,cncl appt
I don't need them to come out,cncl appt
We need to cancel that appointment our Internet back up,cncl appt
We have we have we have to cancel that appointment haven't read restated,cncl appt
I want to cancel that appointment to another plan,cncl appt
Want to cancel that,cncl appt
They canceled it they said,cncl appt
Hey give me cancel can't back I don't,cncl appt
I need to cancel that appointment cancel that appointment,cncl appt
I want to cancel it please my TV is working just fine,cncl appt
Possible cancel,cncl appt
No just cancel my appointment,cncl appt
No thank you for canceling,cncl appt
I don't need it I don't need it,cncl appt
I would like to cancel the appointment because the reboot works for my TV,cncl appt
I wanna cancel it I want to cancel it,cncl appt
Cancel services have been resolved,cncl appt
I'm okay I don't need the appointment,cncl appt
No that's not how will I want to cancel it because I was able to get the television working,cncl appt
Cancel plan,cncl appt
I just need a remote I don't need someone to come,cncl appt
Would you cancel the appointment T V is bad,cncl appt
Cancel the sound came back on,cncl appt
Oh the cable is working so we don't need it,cncl appt
I need to cancel the check,cncl appt
I need to cancel it because problem parts,cncl appt
Yes I would like to cancel my,cncl appt
I need to cancel two channels record,cncl appt
I'm trying to cancel the appointment,cncl appt
I canceled the appointment,cncl appt
I need to cancel cancel my appointment,cncl appt
Cancel cancel Sundays appointment one to two p.m.,cncl appt
I was wanting to cancel,cncl appt
I would like to cancel it oh oh U two oh,cncl appt
Cancel appointment I have a service,cncl appt
Mobley need to cancel my appointment,cncl appt
I need to cancel the appointment because the TV is working,cncl appt
I'd like to cancel my,cncl appt
I need a call back,cncl appt
I need to cancel the appointment I got my cable back,cncl appt
I would like to cancel the service,cncl appt
Don't think I need to cancel an auto agent agent agent agent agent,cncl appt
I have to cancel today's appointment,cncl appt
You can't I need to speak to a representative I would like to cancel,cncl appt
Please cancel the appointment my TV is fine came out last night please cancel my appointment,cncl appt
Cancel no no,cncl appt
I have Internet now do not need the appointment cancel,cncl appt
I want to cancel the appointment the TV is working now,cncl appt
Cable not working now want to cancel,cncl appt
Cancel to cancel appointment,cncl appt
Cancel I wanna speak to someone,cncl appt
I don't know we we figured out how to correct our problem so that's why we don't need a bank today,cncl appt
Cancel the appointment cancel appointment,cncl appt
I need to cancel at,cncl appt
We don't need to get it fixed,cncl appt
Trying to cancel my appointment,cncl appt
I don't need to happen,cncl appt
I want to cancel nobody gonna be home,cncl appt
I'd like to cancel the technician today it's corrected itself,cncl appt
Cancel service appointment,cncl appt
Can I cancel a little bit later,cncl appt
I need to talk to a representative please cancel the appointment,cncl appt
Back called and canceled,cncl appt
Cancel the TV is working now,cncl appt
I like to cancel the appointment my stations came in,cncl appt
I want to cancel my appointment tomorrow two p.m.,cncl appt
I'm going to have to cancel,cncl appt
I don't have one and I want to cancel my appointment,cncl appt
I like to cancel that appointment song come over and got my television together,cncl appt
Please cancel tomorrow's appointments,cncl appt
Oh I want to cancel,cncl appt
I want to cancel my appointment cancel my inspection Internet,cncl appt
I need to cancel that appointment I need to cancel the order,cncl appt
Want account I want to cancel that appointment,cncl appt
We are not home I want to cancel the appointment today I'm not home,cncl appt
I need to know if you're coming or not,cncl appt
I want to cancel I want to listen to me I want to cancel be appointment my Internet is not working,cncl appt
I need to cancel the appointment for Sunday,cncl appt
I need to cancel it I can't be here,cncl appt
Cancel appointment unfounded,cncl appt
No want to cancel,cncl appt
I'd like to cancel appointment Internet is working now,cncl appt
