input,intent
I'm calling because that's wrong technician is not here,cnfm appt
That's all I just wanted to know,cnfm appt
Tell me so I can write it,cnfm appt
Regarding the check appointment,cnfm appt
What happened be between two and three p.m.,cnfm appt
Just wanna make sure you heard about six,cnfm appt
Yes that's it that's all I needed to know,cnfm appt
I'm calling to make sure that the appointment is not late,cnfm appt
I wanna make sure that appointment shows that technician needs to show up to have it okay I'm not showing up,cnfm appt
Yes I would like to talk to the appointment office,cnfm appt
None of me I just want to make sure they show up okay,cnfm appt
Can I have the technician call me,cnfm appt
Hello okay I'll be waiting for that appointment between one and two tomorrow thank you,cnfm appt
Where is the add or the technician at five o'clock or yeah yeah yeah,cnfm appt
Connect me to someone you are ready have aggravated my energy,cnfm appt
Check on technician,cnfm appt
I don't know because it's all on paperless now and I got my phone here that I don't know,cnfm appt
Well it supposed to be between six and seven,cnfm appt
No it's okay I just want to make sure,cnfm appt
Okay no I just wanna make sure confirm,cnfm appt
When is the appointment,cnfm appt
No they they were calling me I would call,cnfm appt
Hello nothing Billerica I'm calling falling highly rewarding barge in,cnfm appt
Issue with technician,cnfm appt
Confirm confirm confirm,cnfm appt
It's almost five o'clock in the technician still hasn't been here,cnfm appt
Where is the technician,cnfm appt
Verifying the appointment,cnfm appt
I don't have one I've never called you before,cnfm appt
Status update,cnfm appt
Confirm appointment,cnfm appt
I want the appointment,cnfm appt
I was just checking I haven't heard anything so,cnfm appt
The TV has started to work,cnfm appt
Just confirming,cnfm appt
Well well I want to know if a problem,cnfm appt
Hi I just want to make sure they're going to show up,cnfm appt
I just wanted to know the timing because I have to go and pick up some boys from school want to miss him,cnfm appt
Confirm can I confirm,cnfm appt
Calls I want my TV fixed now,cnfm appt
I know how to get a cup,cnfm appt
No technician has arrived,cnfm appt
For the fourth time I want to verify just want to verify my appointment,cnfm appt
Technician please,cnfm appt
Just wanted to confirm my appointment,cnfm appt
No technician has arrived,cnfm appt
I just want to verify my appointment,cnfm appt
Where is my technician,cnfm appt
Confirming appointment,cnfm appt
I just want to make sure that he's coming tomorrow,cnfm appt
Where's my technician,cnfm appt
Yes yes I made a call Bennett home I went nonemotional,cnfm appt
Just checking to see if I had a missed call on this phone,cnfm appt
Like to get directions to the technician when they arrive,cnfm appt
I'd like to give the technician some directions when he arrives,cnfm appt
No one has shown yeah it is,cnfm appt
But I'm just confirming that the serviceman will be here in seven minutes,cnfm appt
Nope just to confirm that you will still be here,cnfm appt
That's it confirmed for one hour later,cnfm appt
Technician number,cnfm appt
Just checking to see if they were coming,cnfm appt
I just wondered very well thank you,cnfm appt
Hey service technician showed up and I'm left,cnfm appt
No that's fine I just want to confirm my appointment,cnfm appt
Correct appointment,cnfm appt
Confirmation,cnfm appt
I want to keep the appointment,cnfm appt
Just wanted to make sure they're on their way,cnfm appt
Just wondering for the time,cnfm appt
The appointment confirmed,cnfm appt
Can you please tell me when it's gonna be here exactly it's three thirteen,cnfm appt
I'm just trying to make sure he's coming,cnfm appt
Need to confirm the time,cnfm appt
Correct,cnfm appt
Supposed to be getting ready I'm here,cnfm appt
The appointment is supposed to be between one and two not 2 and 3,cnfm appt
My account verify my appointment today at six o'clock,cnfm appt
No ma'am I don't want it tomorrow,cnfm appt
The appointment date the appointment time is wrong,cnfm appt
Hello I needed to know that it has been confirmed for tomorrow,cnfm appt
I just want to confirm it leaving tomorrow,cnfm appt
I know that the the tech is,cnfm appt
Please record this is what I wanna know why this phone,cnfm appt
Thank you I just want to verify my appointment thank you,cnfm appt
I would like a technician to get to my door,cnfm appt
Please have the technician come to my door now,cnfm appt
I would like the technician to report to my door please,cnfm appt
Just confirming,cnfm appt
Just confirming,cnfm appt
Just want to confirm a date time,cnfm appt
I would just like to make sure that the appointment is all set and ready to go,cnfm appt
I just wanna make sure that my appointment is confirmed,cnfm appt
I just I'm just waiting on you,cnfm appt
I don't know I'm waiting on you,cnfm appt
I don't know you called me,cnfm appt
I'm waiting for the technician,cnfm appt
I'm just waiting,cnfm appt
I'm calling to confirm my appointment,cnfm appt
Just confirming my appointment,cnfm appt
I'm sorry I'll call you,cnfm appt
My appointment time,cnfm appt
Service call tomorrow,cnfm appt
I'm calling about the appointment nobody shut off,cnfm appt
I just want to confirm,cnfm appt
When will the technician call,cnfm appt
I just want to know if it's coming thank you very much,cnfm appt
Details,cnfm appt
Concerned about the wire that's been corrected,cnfm appt
Thank you that's what I want to know yes,cnfm appt
Verifying the appointment,cnfm appt
I just want to make sure I get my TV back before you got here,cnfm appt
I'm going to have to wait to I get an application from the ACT program,cnfm appt
I need to know what is this appointment about,cnfm appt
I was told it was at one p.m. what time are they coming,cnfm appt
Call me in ten in the morning,cnfm appt
Can you confirm the date,cnfm appt
Confirm,cnfm appt
Okay I'm calling,cnfm appt
I want to know why my service is turned off,cnfm appt
I still have no TV service oh okay two p.m.,cnfm appt
Technician is not here,cnfm appt
Technician showing up,cnfm appt
I need to verify the service that I'm getting,cnfm appt
Waiting for the technician,cnfm appt
Technician hasn't shown up,cnfm appt
Service tech isn't here,cnfm appt
I'm waiting for the technician Batmanova national,cnfm appt
About the appointment please get me to a person,cnfm appt
Yo call me I'm calling you back,cnfm appt
Moving appointment date,cnfm appt
Confirming,cnfm appt
Spectrum dispatch,cnfm appt
Yeah I know now that he's going to be here today at two eight one and two o'clock,cnfm appt
Not heard from technician call,cnfm appt
To check on a service account,cnfm appt
Just confirming a part appointment,cnfm appt
Confirmed,cnfm appt
What time,cnfm appt
Where is my technician,cnfm appt
Confirm,cnfm appt
That's all I wanted to know thank you is it on time,cnfm appt
Confirm,cnfm appt
No Mam you have a good day,cnfm appt
That's okay I just need to know the time,cnfm appt
My technician is not here,cnfm appt
What time is it,cnfm appt
They haven't showed up yet,cnfm appt
To someone,cnfm appt
Confirm,cnfm appt
What time is it,cnfm appt
Time please,cnfm appt
Confirm the time and date,cnfm appt
I'm calling to see where are going,cnfm appt
I would like to have it sooner,cnfm appt
I would like to have a restaurant while possible,cnfm appt
Confirming,cnfm appt
Nothing just making sure they're still coming,cnfm appt
Time,cnfm appt
I was just wanting to confirm the appointment,cnfm appt
Yes this is not the right appointment time time five to six p.m.,cnfm appt
Tech,cnfm appt
Verify,cnfm appt
Ppointment date,cnfm appt
Date,cnfm appt
Time,cnfm appt
The box back working,cnfm appt
I was just confirming it,cnfm appt
Supposed to be here,cnfm appt
I was just verifying that it was tomorrow at between five and six,cnfm appt
Confirmation,cnfm appt
Is the driver in route,cnfm appt
No I have not received,cnfm appt
Well I got tell you what,cnfm appt
Yes use this phone number for our confirmation on my appointment,cnfm appt
Confirm appointment,cnfm appt
What's my I want to know what my laptop,cnfm appt
That's all I needed to know,cnfm appt
Technician technician not here,cnfm appt
Just confirming appointment,cnfm appt
Can I get an updated time,cnfm appt
When they call me,cnfm appt
Because I keep having this issue with my router and I wanna know what is the recourse if this continues to happen,cnfm appt
Call me,cnfm appt
Just wanted to confirm the appointment,cnfm appt
I got a text that my service was restored and that is not correct,cnfm appt
Just a minute I mean you know this is maria making it difficult,cnfm appt
