Input,INTENT
Okay this is an call me,cnfm appt
Yes I would be waiting for my appointment okay please know it,cnfm appt
Technician called me,cnfm appt
Please I'd be waiting please know my appointment tonight tonight okay please,cnfm appt
Well I'm here waiting just letting you know I'm here waiting,cnfm appt
It says the technician has arrived that I've been waiting out for ten or fifteen minutes and I do not see the technician,cnfm appt
Thank you that's what I needed to know,cnfm appt
I just wanna be sure there were coming they were supposed to be here between four and five,cnfm appt
Technician,cnfm appt
Yes I was just wondering if they were still gonna come Monday,cnfm appt
Connect me to a technician,cnfm appt
Update,cnfm appt
Why do I have an appointment,cnfm appt
Confirming it,cnfm appt
Hey still not here and was supposed to call two thirty to confirm,cnfm appt
Is not here yes please call me,cnfm appt
Technician call,cnfm appt
Nothing I guess you were a call just calling to confirm we're home,cnfm appt
What time is the appointment,cnfm appt
Want to confirm the appointment,cnfm appt
Calling to confirm,cnfm appt
Want to confirm the appointment,cnfm appt
Is it confirmed,cnfm appt
Where is the technician,cnfm appt
Confirm appointment,cnfm appt
Oh just waiting for the technician,cnfm appt
No just give me the appointment time,cnfm appt
To confirm the appointment,cnfm appt
Confirm it,cnfm appt
Confirm,cnfm appt
That's all I need to know,cnfm appt
Correct okay,cnfm appt
Just want to know what is happening,cnfm appt
Can you tell me if you're gonna be late or not,cnfm appt
Okay it's confirmed,cnfm appt
Oh okay I'm verified for nineteen minutes yes,cnfm appt
I need to reach the technician,cnfm appt
Where you tell me again when it is,cnfm appt
I'm calling because I wanna know,cnfm appt
Please call me please call me at this number,cnfm appt
Hey I'm I'm waiting for the spectrum person to come work on,cnfm appt
Where is the Backstrom person to work on our system,cnfm appt
Technician is not here yet,cnfm appt
That's it just confirming,cnfm appt
Checking to see if a driver very here,cnfm appt
I believe I just tried to call me,cnfm appt
Somebody was supposed to be out today between ten and eleven,cnfm appt
That appointment was supposed to be today Saturday,cnfm appt
Check my appointment,cnfm appt
Confirm,cnfm appt
Thank you that's good thank you know he's arriving at three o'clock,cnfm appt
Confirm that they're on their way I was told that he be here by three o'clock,cnfm appt
No what time will they arrive,cnfm appt
Just confirming all is good,cnfm appt
Yes I am home I'm waiting on,cnfm appt
What time is the appointment,cnfm appt
I would like to know who's gonna be the technician coming here,cnfm appt
To confirm the appointment,cnfm appt
Typing on the technician coming,cnfm appt
I'm calling about the repair it's not my house it's a public area just a regular telephone line,cnfm appt
Confirmed,cnfm appt
That's lean you've confirmed it thank you,cnfm appt
Just want to confirm it,cnfm appt
I was just checking to see what time you'll be there,cnfm appt
No I just wanna make sure my appointments between twelve and one,cnfm appt
I'm wondering if you could come between twelve in the morning on Sunday,cnfm appt
Okay that's it I just want to make sure it was been done,cnfm appt
I got a call from this number,cnfm appt
Correct,cnfm appt
I was just confirming,cnfm appt
I like to know when they're coming when they're scheduled here,cnfm appt
Just checking to see the still available,cnfm appt
I just wanted to make sure that it was still available,cnfm appt
I'm waiting because I I was in the bathroom in the shower,cnfm appt
About the appointment I didn't get a call about it,cnfm appt
Send me a confirmation of appointment,cnfm appt
Appointment status,cnfm appt
It was supposed to be today at twelve,cnfm appt
My appointment was supposed to be today at twelve o'clock,cnfm appt
Okay okay thank you that's all I wanted to know if you was coming,cnfm appt
You already confirmed it thank you,cnfm appt
Technician detail,cnfm appt
I wanted to find out when they were coming I have been had a phone call or anything,cnfm appt
So I just wanted to make sure that they Monday,cnfm appt
No I guess there's nothing to do I'll expect them here at eleven,cnfm appt
I wanna know about this appointment that I had what is it for,cnfm appt
Call me back,cnfm appt
Someone gave me a call,cnfm appt
I don't this is Doctor Gladden you have me,cnfm appt
I got a call back and I'm trying to see what it was about,cnfm appt
I just got a phone call and I was calling back to see what it was about,cnfm appt
No I was just wondering if he's coming today that's all,cnfm appt
Just the time of my appointment,cnfm appt
He's coming too early you have to put them off supposed to be one o'clock,cnfm appt
My appointment time,cnfm appt
I want media appointment today,cnfm appt
I was just checking because they call me at eleven fifteen I dropped everything was rushed home they said he was on his way and it's been an hour and twenty minutes,cnfm appt
What time is it,cnfm appt
I just want to confirm that they are coming Monday,cnfm appt
I just want to confirm that they are coming Monday,cnfm appt
What happened,cnfm appt
I wake up call,cnfm appt
Confirm appointment,cnfm appt
Stop me appointment,cnfm appt
I'm waiting for my technician,cnfm appt
I'm calling about my appointment,cnfm appt
I would like the technician to call me when he gets to my house,cnfm appt
You know I had a shitty shitty service,cnfm appt
I don't have it with me I don't have it I don't know it let me see if I got it in here,cnfm appt
Correct,cnfm appt
Well it's almost twelve and they didn't call me yet and I was wondering if they were still coming,cnfm appt
Have the technician come back he's already been here,cnfm appt
I want to know what the issue was that they fixed yesterday,cnfm appt
What time,cnfm appt
Tell me about tomorrow because you talking about this one,cnfm appt
I just wanted to know when they're gonna show up,cnfm appt
It's confirmed,cnfm appt
I was just confirming the appointment,cnfm appt
It's it's confirmed,cnfm appt
Okay thank you I'm waiting for them right now,cnfm appt
No that's all I need to know thank you,cnfm appt
That's okay I just wanted to confirm that,cnfm appt
I just wanna make sure my appointment is for today,cnfm appt
When is the driver coming,cnfm appt
I'm calling about the technician is supposed to bring Monday,cnfm appt
Two p.m. and three p.m. correct,cnfm appt
Just checking,cnfm appt
Help for the technician,cnfm appt
I just want to know whether the appointment is still on for Sunday yes,cnfm appt
Confirm,cnfm appt
No between three and four correct,cnfm appt
I'm good I didn't know I had until ten allgood,cnfm appt
That's not the appointment I've got,cnfm appt
What time will they be here,cnfm appt
This supposed to be here today,cnfm appt
I was calling in regards to what did the technician has to do,cnfm appt
I was checking on appointment,cnfm appt
Want to know where to a technician a,cnfm appt
Talk to me I was told my appointment was at nine o'clock not ten o'clock,cnfm appt
Confirmed,cnfm appt
I just wanna make sure I still had it,cnfm appt
Well somebody just called me from there so I just need to know why,cnfm appt
You haven't done so thank you,cnfm appt
That's fine I just needed to know,cnfm appt
Yes confirm,cnfm appt
Issue with technician,cnfm appt
You need to go back because they don't know just let me get it now,cnfm appt
Okay that's what I was calling about to make sure he's gonna come,cnfm appt
They called me,cnfm appt
Technician,cnfm appt
Calling to confirm,cnfm appt
Supposed to be here before ten a.m.,cnfm appt
I just want to make sure he's coming,cnfm appt
No thank you have a great day,cnfm appt
Technician,cnfm appt
Oh that's it I just want to confirm that I just called so I was trying to see what was going on,cnfm appt
Who supposed to be here at nine o'clock,cnfm appt
Thank you very much have a great day,cnfm appt
Not nothing you can really do I just want to make sure what your phone call about,cnfm appt
For calling and letting me know what time you're coming I appreciate that have a good day I'll be waiting,cnfm appt
I confirm that I've got time three to four p.m. confirmed,cnfm appt
Yes I'm calling back you called me,cnfm appt
Keep the appointment,cnfm appt
Nothing replied to call me,cnfm appt
I'm waiting I'm waiting for appointment,cnfm appt
Call the spectrum guy and let them know I'm here creek called and I didn't get the phone in time,cnfm appt
I don't know you called me,cnfm appt
