input,intent
Change my appointment,rschdle appt
I need to reschedule it,rschdle appt
Reschedule it,rschdle appt
Reschedule,rschdle appt
I need to change it,rschdle appt
Need a sooner appointment,rschdle appt
Make it sooner,rschdle appt
Change the time,rschdle appt
Earlier,rschdle appt
Change appointment,rschdle appt
Reschedule my appointment,rschdle appt
I can't speak with Lisa,rschdle appt
Reschedule for next Tuesday,rschdle appt
Can I reschedule,rschdle appt
He can get here at one o'clock,rschdle appt
Customer care earlier date,rschdle appt
Can I get my television on today,rschdle appt
Need to change what will be installed on Saturday my appointment,rschdle appt
I need to need to change,rschdle appt
Change it to Thursday between eight and nine,rschdle appt
No I wanted I want to change the time,rschdle appt
I would like to change the date,rschdle appt
I need to change the appointment,rschdle appt
I wanted early appointment earlier you said you would let me know but you didn't,rschdle appt
I want to reschedule it,rschdle appt
You gave me an appointment for today,rschdle appt
Change time,rschdle appt
They came early my appointment,rschdle appt
Okay let's reschedule the appointment was reschedule it,rschdle appt
Change,rschdle appt
I'm just checking,rschdle appt
I want to change my order,rschdle appt
I need help programming remote today,rschdle appt
I need to reschedule parking,rschdle appt
Can we get it sooner,rschdle appt
I want to move it up,rschdle appt
I need to move it to the twenty ninth,rschdle appt
Earlier appointment,rschdle appt
See if they could come earlier,rschdle appt
Change the details,rschdle appt
Wondering if I need the appointment,rschdle appt
Need to reschedule,rschdle appt
Change here today between three and four p.m.,rschdle appt
They can come earlier if they want,rschdle appt
Can you have anything today between five and eight p.m.,rschdle appt
Reschedule appointment,rschdle appt
I need to change the time,rschdle appt
Change appointment time,rschdle appt
I would like an earlier one,rschdle appt
Hi half to change I need to change the appointment,rschdle appt
Possible reschedule,rschdle appt
Can I come later,rschdle appt
Missed appointment,rschdle appt
Well I need to change that,rschdle appt
Reschedule it next day I got a doctors appointment that day,rschdle appt
Change schedule,rschdle appt
I need to change the information I gave,rschdle appt
Any available appointments early,rschdle appt
Change it,rschdle appt
Can I get that appointment moved to earlier in the day,rschdle appt
Change the appointment,rschdle appt
I need it sooner,rschdle appt
I need to reschedule,rschdle appt
I need to reschedule I have a call that,rschdle appt
I like to change it to another day,rschdle appt
Reschedule for later today,rschdle appt
I need to see if I can get a sooner appointment,rschdle appt
I'd like to change it,rschdle appt
To reset the appointment,rschdle appt
They need to be here today but tomorrow it's today,rschdle appt
I have anymore earlier appointment,rschdle appt
Need to change the appointment,rschdle appt
Can I come,rschdle appt
I'd like them to come earlier,rschdle appt
Change to Friday,rschdle appt
Can I make it earlier,rschdle appt
Can you come today,rschdle appt
Need to change appointment,rschdle appt
I need to reset my password,rschdle appt
C if I can change the time,rschdle appt
I need to change my appointment date,rschdle appt
Need to move Internet connection,rschdle appt
And so I can set-up,rschdle appt
Change date,rschdle appt
Can you make it a little bit later,rschdle appt
Reschedule this appointment,rschdle appt
To see if I can make the appointment any earlier now,rschdle appt
How can I take money,rschdle appt
Sooner today,rschdle appt
I need it sooner appointment,rschdle appt
Change appointment date,rschdle appt
I need an appointment sooner,rschdle appt
Move appointment,rschdle appt
They're coming early for my appointment and I'm not home,rschdle appt
I was just check time,rschdle appt
Anyway to change the time,rschdle appt
Reschedule the appointment,rschdle appt
See if I can get an earlier appointment,rschdle appt
Oh five oh I can't think of it at the moment it's,rschdle appt
Change number,rschdle appt
I need to change my appointment today to three o'clock,rschdle appt
Problems with appointment,rschdle appt
I would like to reschedule,rschdle appt
Can someone come today,rschdle appt
I need my appointment changed to Friday,rschdle appt
I have an appointment today I need to change it to Friday,rschdle appt
I want to reschedule appointment night time,rschdle appt
Request for an earlier appointment,rschdle appt
I'd like to change the time of my appointment if I can,rschdle appt
I need to change my appointment please,rschdle appt
Expedites,rschdle appt
Can I move it up,rschdle appt
I need to see if I could change the time,rschdle appt
This is a technician can come today,rschdle appt
Like to change it,rschdle appt
Yes I want to reschedule it for tomorrow,rschdle appt
