Utterances,Potential Intent
|Total amount on billing                                                                                                                                                                                                                                                                                     |,Balance Inquiry
|My balance for billing information please                                                                                                                                                                                             |,Balance Inquiry
|Balance on Wi-Fi bill                                                                                                                                                                                                                                                                                       |,Balance Inquiry
|If my billing is paid or not                                                                                                                                                             |,Balance Inquiry
|Whether my bill is paid                                                                                                                                                                                                              |,Balance Inquiry
|If I paid my bill or not                                                                                                                                                                                                             |,Balance Inquiry
|If my bills paid                                                                                                                                                                                                                                                                                            |,Balance Inquiry
|Do I have a balance on my phone bill                                                                                                                                                                                                                                                                        |,Balance Inquiry
|Do I have a balance on my bill                                                                                                                                                                                                                                                                              |,Balance Inquiry
|Total bill balance due                                                                                                                                                                                                                                                                                      |,Balance Inquiry
|Total balance on bill                                                                                                                                                                                                                                                                                       |,Balance Inquiry
"""What's my current account payment balance?""",Balance inquiry
"""Can you check my latest payment status?""",Balance inquiry
"""How much is left on my payment account?""",Balance inquiry
"""Did I fully pay off my last charge?""",Balance inquiry
"""Is my payment account up to date?""",Balance inquiry
"""Need to know my exact payment balance.""",Balance inquiry
"""Is there any remaining amount after my last payment?""",Balance inquiry
"""Has my recent payment been fully credited?""",Balance inquiry
"""What's left on my account after my recent payment?""",Balance inquiry
"""Can you confirm my current payment status?""",Balance inquiry
"""After my last payment, what does my balance show?""",Balance inquiry
"""Have all my payments been cleared off?""",Balance inquiry
"""What's my balance after the latest transaction?""",Balance inquiry
"""Am I fully paid up on my account?""",Balance inquiry
"""Show me my current payment situation.""",Balance inquiry
"""How much is left after my last payment?""",Balance inquiry
"""Is there any balance left post my recent payment?""",Balance inquiry
"""I need a current update on my payment balance.""",Balance inquiry
"""How much is my payment account showing now?""",Balance inquiry
"""Are my payments up to date?""",Balance inquiry
"""Is there any amount left after recent payments?""",Balance inquiry
"""Can you update my payment status?""",Balance inquiry
"""Has my account been settled after the last payment?""",Balance inquiry
"""What's my account showing after the latest payment?""",Balance inquiry
"""Can you provide my current payment account status?""",Balance inquiry
"""After deducting my last payment, what is my balance?""",Balance inquiry
"""Do I have a zero balance after my recent payment?""",Balance inquiry
"""Has my last payment been reflected in my balance?""",Balance inquiry
"""What does my payment account say currently?""",Balance inquiry
"""I'd like to know the balance after my recent payment.""",Balance inquiry
"""Is my account clear post the last payment?""",Balance inquiry
"""What’s my balance following my recent payment?""",Balance inquiry
"""Is there any amount left on my account?""",Balance inquiry
"""What's my payment status after the last charge?""",Balance inquiry
"""Can you check if my last payment cleared my balance?""",Balance inquiry
"""Do I still have a balance after my payments?""",Balance inquiry
"""What's my current payment status after recent transactions?""",Balance inquiry
"""Is my payment account fully settled?""",Balance inquiry
"""Has my payment cleared off the account?""",Balance inquiry
"""Am I all cleared with my payments?""",Balance inquiry
"""What's my balance post recent payments?""",Balance inquiry
"""Need a current check on my payment account.""",Balance inquiry
"""Has my recent payment settled my account?""",Balance inquiry
"""What does my account reflect post-payment?""",Balance inquiry
"""Is my account balance zero after payments?""",Balance inquiry
"""Can you give me my latest payment balance?""",Balance inquiry
"""Have my payments covered everything?""",Balance inquiry
"""What's my account showing post my last payment?""",Balance inquiry
"""Any balance left after my payments?""",Balance inquiry
"""Is my account balanced after recent payments?""",Balance inquiry
What is my balance now,Balance inquiry
after my last payment i should be good now,Balance inquiry
I should be clear,Balance inquiry
I dont have a balance right,Balance inquiry
Just making sure that i dont have a balance,Balance inquiry
|When is my next bill cycle due                                                                                                                                                                                                        |,Bill cycle
|When is my next bill cycle                                                                                                                                                                                                                                                                                  |,Bill cycle
|I wanna know when my billing period is                                                                                                                                                                                                                                                                      |,Billing Cycle
|I wanna know the dates of my billing cycle                                                                                                                                                                                                                                                                  |,Billing Cycle
|When is my first billing due date                                                                                                                                                                                                                                                                           |,Billing cycle
|When is my billing period                                                                                                                                                                                                                                                                                   |,Billing cycle
|Billing billing send me to billing please                                                                                                                                                                                             |,Billing Global
|Billing please connect me to billing                                                                                                                                                                                                  |,Billing Global
|Billing connect me to billing please                                                                                                                                                                                                                                                                        |,Billing Global
|Billing please connect me with billing                                                                                                                                                                                                                                                                      |,Billing Global
|Billing billing billing please connect me with billing                                                                                                                                                                                                                                                      |,Billing Global
|Billing could you connect me to billing please                                                                                                                                                                                                                                                              |,Billing Global
|Billing billing please billing my account                                                                                                                                                                                                                                                                   |,Billing Global
|Billing speak to billing please                                                                                                                                                                                                                                                                             |,Billing Global
|Billing billing connect me please                                                                                                                                                                                                                                                                           |,Billing Global
|Talk to billing please billing                                                                                                                                                           |,Billing Global
|Billing my house lines please billing for those                                                                                                                                                                                                                                                             |,Billing Global
|Billing someone in billing please                                                                                                                                                                                                                                                                           |,Billing Global
|Speak to billing please billing                                                                                                                                                                                                                                                                             |,Billing Global
|To speak to billing please billing                                                                                                                                                                                                                                                                          |,Billing Global
"""Is it possible to waive this fee for me?""",Can you waive the fee
"""Can you remove this charge from my bill?""",Can you waive the fee
"""I was wondering if you could waive this fee.""",Can you waive the fee
"""Could you please consider waiving this fee?""",Can you waive the fee
"""Is there any way to get this fee removed?""",Can you waive the fee
"""Can this charge be waived off my account?""",Can you waive the fee
"""Would you be able to waive this extra fee?""",Can you waive the fee
"""I'm requesting a waiver for this particular fee.""",Can you waive the fee
"""Can you help me by waiving this charge?""",Can you waive the fee
"""Is it feasible to remove this fee from my bill?""",Can you waive the fee
"""I'd appreciate if you could waive this fee.""",Can you waive the fee
"""Could this fee be exempted from my bill?""",Can you waive the fee
"""I'm asking for this fee to be waived, please.""",Can you waive the fee
"""Can this fee be taken off my account?""",Can you waive the fee
"""Would it be possible to not charge me this fee?""",Can you waive the fee
"""Can you take off this fee?""",Can you waive the fee
"""Please remove this charge.""",Can you waive the fee
"""Can this fee be dropped?""",Can you waive the fee
"""I want this fee waived, please.""",Can you waive the fee
"""Can you get rid of this fee?""",Can you waive the fee
"""Please take this charge off.""",Can you waive the fee
"""Can you cancel this fee?""",Can you waive the fee
"""Remove this fee, will you?""",Can you waive the fee
"""Can you skip this charge?""",Can you waive the fee
"""I need this fee gone.""",Can you waive the fee
"""Can we not do this fee?""",Can you waive the fee
"""Get this fee off my bill?""",Can you waive the fee
"""Can you waive this charge?""",Can you waive the fee
"""I don't want to pay this fee, can you remove it?""",Can you waive the fee
"""Please cut this fee from my bill.""",Can you waive the fee
|Overbilled charges bogus charges                                                                                                                                                   |,Charges dispute
|Unexplained charge on my bill                                                                                                                                                                                     |,Charges dispute
|Unexplained charges on my bill                                                                                                                                                                                                        |,Charges dispute
|Unexplained charges on bill                                                                                                                                                                                                                                                                                 |,Charges dispute
|Unrecognized item on my bill                                                                                                                                                                                                                                                                                |,Charges dispute
|Unrecognized charges on my bill                                                                                                                                                                                                                                                                             |,Charges dispute
|Copy of your bill my bill                                                                                                                                                                                                                                                                                   |,Copy of bill
|Mail my bill bill by mail                                                                                                                                                                                                                                                                                   |,Copy of bill
|Bill view my bill                                                                                                                                                                                                                                                                                           |,Copy of bill
|Email bills I want mailed bills                                                                                                                                                                                                                                                                             |,Copy of bill
|Bill copy of my bill                                                                                                                                                                                                                                                                                        |,Copy of bill
|Mail mail my bill mail                                                                                                                                                                                                                                                                                      |,Copy of bill
|Need a copy of my bill please send me a copy of email me a copy of my bill                                                                                                                                                                                                                                  |,Copy of bill
|Was double billed for my last payment                                                                                                                                                                                                                                                                       |,Copy of bill
|My bill on paper                                                                                                                                                                                                                                                                                            |,copy of bill
|How will this impact my bill                                                                                                                                                                                                          |,How much are the charges
|How does that affect my bill                                                                                                                                                                                                                                                                                |,How much are the charges
|How are these changes affect my bill                                                                                                                                                                                                                                                                        |,How much are the charges
|How does that effect my bill                                                                                                                                                                                                                                                                                |,How much are the charges
